Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,11536.19,0.00,0.00,72.42 B,1.86%,4.19%,14.80%,2.52
12M 2022,9.55 B,59.77,0.00,0.00,788.64 B,32.79%,52.03%,75.76%,56.59
12M 2023,11.24 B,21.20,633.25,101.01,335.67 B,6.71%,14.20%,14.68%,15.75
12M 2024,11.24 B,226.69,49.08,9.84,"5,152.38 B",8.87%,51.52%,27.52%,4.60
