Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,28.66,,0.25,,,0.0
12M 2009,,,,,,,,,26.54,22.14,0.3,0.3,,,0.0
12M 2010,,,,,,,,,29.23,26.09,0.43,0.39,,,0.0
12M 2011,,,,,,,,,17.05,12.44,0.4,0.4,,,0.0
12M 2012,,,,,,,,,12.93,11.8,0.38,0.32,,,0.0
12M 2013,,,,,,,,,14.49,13.18,0.41,0.38,,,0.0
12M 2014,,,,,,,,,16.55,16.71,0.42,0.39,,,0.0
12M 2015,,,,,,,,,20.22,21.86,0.42,0.42,,,0.0
12M 2016,,,,,,,,,21.86,21.2,0.44,0.45,,,0.0
12M 2017,,,,,,,,,23.86,24.38,0.47,0.47,,,0.0
12M 2018,,,,,,,,,26.06,26.64,0.47,0.48,,,0.0
12M 2019,,,,,,,,,22.97,22.0,0.48,0.49,,,0.0
12M 2020,,,,,,,,,20.14,21.28,0.47,0.47,,,0.0
12M 2021,,,,,,,,,30.9,29.7,0.61,0.59,,,0.0
12M 2022,,,,,,,,,40.17,39.94,0.71,0.71,,,0.0
12M 2023,,,,,,,,,61.41,63.12,1.06,1.07,,,0.0
12M 2024,,,,,,,,,61.69,63.45,0.97,0.97,,,0.0
