Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,2457349444991.000000,-2245445182911.000000,211904262080.000000,-143709510436.000000,-75376862835.000000,-68320279678.000000,-12367923.000000,-143709510436.000000,68194751644.000000,-17096939298.000000,,93608393.000000,-37741951560.000000,20551403869.000000,-17096939298.000000,51097812346.000000,-25783708943.000000,,,-25783708943.000000,25314103403.000000,189206189772.000000,214520293175.000000,25314103403.000000,25314103403.000000,,25314103403.000000,214520293175.000000,214520293175.000000,,214520293175.000000
12M 2016,2249418846803.000000,-2052139045365.000000,197279801438.000000,-145850016389.000000,-74876380654.000000,-67652869652.000000,-3320766083.000000,-145850016389.000000,51429785049.000000,-28234817916.000000,,86401180.000000,-36318980551.000000,7997761455.000000,-28234817916.000000,23194967133.000000,10599899807.000000,,,10599899807.000000,33794866940.000000,-44320372980.000000,-10525506040.000000,33794866940.000000,33794866940.000000,,33794866940.000000,-10525506040.000000,-10525506040.000000,,-10525506040.000000
12M 2017,2354938016436.000000,-2159382022383.000000,195555994053.000000,-160025096797.000000,-78552583150.000000,-64976815771.000000,-16495697876.000000,-160025096797.000000,35530897256.000000,-23017215979.000000,,72568981.000000,-27530334207.000000,4440549247.000000,-23017215979.000000,12513681277.000000,25686000465.000000,,,25686000465.000000,38199681742.000000,9307002541.000000,47506684283.000000,38199681742.000000,38199681742.000000,,38199681742.000000,47506684283.000000,47506684283.000000,,47506684283.000000
12M 2018,2630918557954.000000,-2410651375897.000000,220267182057.000000,-156969994367.000000,-76713767915.000000,-65789817356.000000,-14466409096.000000,-156969994367.000000,63297187690.000000,-27080512251.000000,,1669306206.000000,-43820419503.000000,15070601046.000000,-27080512251.000000,36216675439.000000,26977223660.000000,,,26977223660.000000,63193899099.000000,118563219537.000000,181757118636.000000,63193899099.000000,64429618984.000000,-1235719885.000000,63193899099.000000,181757118636.000000,182992838521.000000,-1235719885.000000,181757118636.000000
12M 2019,2566094747992.000000,-2358430472066.000000,207664275926.000000,-153087200248.000000,-79899661732.000000,-73187538516.000000,,-153087200248.000000,54577075678.000000,-37063000819.000000,4275755620.000000,399133556.000000,-50253001772.000000,8515111777.000000,-37063000819.000000,17514074859.000000,21397893424.000000,,,21397893424.000000,38911968283.000000,-87795648130.000000,-48883679847.000000,38911968283.000000,45950535019.000000,-7038566736.000000,38911968283.000000,-48883679847.000000,-41845113111.000000,-7038566736.000000,-48883679847.000000
12M 2020,2991912117541.000000,-2644989179914.000000,346922937627.000000,-176942283169.000000,-96887946498.000000,-80054336671.000000,,-176942283169.000000,169980654458.000000,-123663321160.000000,-36405683406.000000,77695328.000000,-55166613020.000000,-32168720062.000000,-123663321160.000000,46317333298.000000,26960409124.000000,-357401136.000000,27317810260.000000,26960409124.000000,73277742422.000000,38223883062.000000,111501625484.000000,73277742422.000000,74755880531.000000,-1478138109.000000,73277742422.000000,111501625484.000000,112979763593.000000,-1478138109.000000,111501625484.000000
12M 2021,3652442192823.000000,-3164714349819.000000,487727843004.000000,-241827683550.000000,-161043124469.000000,-80784559081.000000,,-241827683550.000000,245900159454.000000,-27554815469.000000,29588002722.000000,33324672.000000,-52339964741.000000,-4836178122.000000,-27554815469.000000,218345343985.000000,-17369538038.000000,-25609738291.000000,8240200253.000000,-17369538038.000000,200975805947.000000,22981813306.000000,223957619253.000000,200975805947.000000,171399567807.000000,29576238140.000000,200975805947.000000,223957619253.000000,194381381113.000000,29576238140.000000,223957619253.000000
12M 2022,3819385000000.000000,-3372937000000.000000,446448000000.000000,-250661000000.000000,-179379000000.000000,-71282000000.000000,,-250661000000.000000,195787000000.000000,-27797000000.000000,7329000000.000000,20000000.000000,-60717000000.000000,25571000000.000000,-27797000000.000000,167990000000.000000,-1576000000.000000,-8918000000.000000,7342000000.000000,-1576000000.000000,166414000000.000000,245121000000.000000,411535000000.000000,166414000000.000000,137038000000.000000,29376000000.000000,166414000000.000000,411535000000.000000,382159000000.000000,29376000000.000000,411535000000.000000
12M 2023,2997464000000.000000,-2875482000000.000000,121982000000.000000,-178522000000.000000,-94440000000.000000,-84082000000.000000,,-178522000000.000000,-56540000000.000000,-153677000000.000000,-32785000000.000000,1336000000.000000,-118073000000.000000,-4155000000.000000,-153677000000.000000,-210217000000.000000,-31571000000.000000,-7224000000.000000,-24347000000.000000,-31571000000.000000,-241788000000.000000,-68307000000.000000,-310095000000.000000,-241788000000.000000,-243549000000.000000,1761000000.000000,-241788000000.000000,-310095000000.000000,-311850000000.000000,1755000000.000000,-310095000000.000000
12M 2024,3423935000000.000000,-3069389000000.000000,354546000000.000000,-218119000000.000000,-144794000000.000000,-73325000000.000000,,-218119000000.000000,136427000000.000000,-60949000000.000000,33896000000.000000,473000000.000000,-130967000000.000000,35649000000.000000,-60949000000.000000,75478000000.000000,-25569000000.000000,-15355000000.000000,-10214000000.000000,-25569000000.000000,49909000000.000000,100602000000.000000,150511000000.000000,49909000000.000000,32459000000.000000,17450000000.000000,49909000000.000000,150511000000.000000,133064000000.000000,17447000000.000000,150511000000.000000
